File,Cognitive_Complexity
app/dashboard/page.tsx,205
app/login/page.tsx,61
app/settings/page.tsx,48
app/components/AudioRecorder.tsx,42
app/components/Navbar.tsx,29
app/api/analyze/route.ts,25
app/api/user/export-data/route.ts,22
app/api/auth/register/route.ts,20
app/contexts/AuthContext.tsx,19
app/utils/audioStorage.ts,16
app/api/auth/social/route.ts,14
app/reset-password/page.tsx,13
app/api/auth/update-profile/route.ts,12
app/utils/audioProcessing.ts,11
app/api/auth/login/route.ts,11
app/forgot-password/page.tsx,10
app/utils/auth.ts,9
app/api/user/delete-data/route.ts,9
app/utils/authClient.ts,8
app/lib/mongodb.ts,7
app/api/auth/change-password/route.ts,7
middleware.ts,6
app/api/user/fetch-recording/route.ts,6
app/our-ai/page.tsx,5
app/api/auth/me/route.ts,5
app/api/auth/oauth/route.ts,4
app/api/auth/reset-password/complete/route.ts,4
app/api/auth/reset-password/request/route.ts,3
app/api/audio/[id]/route.ts,2
finalmodel.py,1
app/api/auth/logout/route.ts,1
app/models/User.ts,1 
